iter	Logloss
0	0.6066635738
1	0.5354462435
2	0.4544074273
3	0.4002375514
4	0.3668531774
5	0.3374630918
6	0.3167501769
7	0.2992851873
8	0.2826411822
9	0.2700253965
10	0.2579714601
11	0.2443211859
12	0.2328911995
13	0.2256983508
14	0.2144449284
15	0.2093878437
16	0.2044216045
17	0.197679771
18	0.1923557437
19	0.1872472233
20	0.1846917393
21	0.1808239897
22	0.1766084418
23	0.1739593986
24	0.1716267357
25	0.1689066427
26	0.1654688227
27	0.1633028662
28	0.1607611778
29	0.1593150337
30	0.1582959506
31	0.1569376667
32	0.1560777057
33	0.1545457312
34	0.1529107768
35	0.1518566843
36	0.1510382195
37	0.1500827047
38	0.149059915
39	0.1481759841
40	0.1475597944
41	0.1465369044
42	0.1457867732
43	0.144828894
44	0.1436158075
45	0.1426038259
46	0.1411235274
47	0.1403318125
48	0.1398390574
49	0.1393673017
50	0.1382788208
51	0.1377819515
52	0.1371848945
53	0.1366210639
54	0.1363587469
55	0.1360713316
56	0.1357565963
57	0.135274099
58	0.1338149165
59	0.1333253994
60	0.1327999434
61	0.1325177739
62	0.132042692
63	0.1314319343
64	0.13121268
65	0.1306949796
66	0.130414704
67	0.1299935892
68	0.1293302673
69	0.1290018343
70	0.1281831495
71	0.12781869
72	0.1273811791
73	0.1268652117
74	0.1265851387
75	0.1261794693
76	0.12570686
77	0.1254848993
78	0.1248333831
79	0.124594925
80	0.1240057045
81	0.1236614279
82	0.1234186802
83	0.1229391362
84	0.1223324746
85	0.1219955339
86	0.1217400539
87	0.1214700439
88	0.1211617859
89	0.1209153935
90	0.1203965097
91	0.1199212856
92	0.1197400671
93	0.1193972083
94	0.1190360546
95	0.1189267819
96	0.1187456235
97	0.1184268112
98	0.1181426124
99	0.1179695949
100	0.117796924
101	0.1175811456
102	0.1174522213
103	0.1171208234
104	0.1169231287
105	0.1167790174
106	0.1165109232
107	0.1160467205
108	0.1159788803
109	0.1157686127
110	0.1153293992
111	0.1150429987
112	0.1147922361
113	0.1145874427
114	0.1144057197
115	0.1140639907
116	0.1139268876
117	0.1137834295
118	0.1135537823
119	0.1133160416
120	0.1130467929
121	0.1126691087
122	0.1124257279
