iter	Passed	Remaining
0	76	76470
1	83	41471
2	94	31328
3	100	25142
4	110	21924
5	115	19169
6	123	17534
7	130	16166
8	139	15353
9	147	14576
10	156	14077
11	162	13399
12	169	12848
13	176	12440
14	182	11990
15	191	11778
16	197	11438
17	205	11196
18	211	10927
19	217	10657
20	225	10494
21	230	10263
22	237	10095
23	243	9901
24	249	9726
25	256	9606
26	262	9456
27	270	9374
28	275	9236
29	281	9109
30	289	9047
31	295	8937
32	302	8876
33	309	8782
34	315	8692
35	322	8629
36	328	8538
37	335	8484
38	340	8379
39	345	8287
40	351	8227
41	356	8136
42	361	8053
43	368	8012
44	374	7949
45	379	7879
46	386	7841
47	393	7804
48	403	7840
49	413	7850
50	420	7824
51	426	7770
52	433	7743
53	438	7684
54	444	7632
55	450	7601
56	456	7549
57	461	7502
58	469	7485
59	475	7443
60	482	7421
61	487	7378
62	493	7334
63	500	7315
64	505	7274
65	511	7235
66	517	7205
67	523	7168
68	528	7137
69	534	7105
70	540	7073
71	546	7046
72	552	7017
73	557	6981
74	564	6961
75	569	6928
76	575	6896
77	581	6873
78	586	6841
79	593	6823
80	601	6818
81	607	6802
82	615	6795
83	620	6768
84	625	6736
85	632	6726
86	638	6698
87	644	6682
88	649	6652
89	654	6621
90	661	6603
91	666	6575
92	671	6545
93	677	6528
94	682	6501
95	687	6473
96	693	6458
97	698	6433
98	704	6407
99	709	6388
100	714	6361
101	719	6337
102	726	6323
103	731	6304
104	737	6286
105	744	6276
106	749	6253
107	754	6230
108	760	6216
109	765	6192
110	770	6173
111	777	6162
112	782	6143
113	788	6126
114	796	6128
115	802	6111
116	809	6106
117	815	6093
118	820	6075
119	828	6073
120	833	6058
121	841	6059
122	848	6052
123	854	6035
124	862	6037
125	868	6022
126	876	6022
127	882	6010
128	890	6012
129	897	6003
130	903	5990
131	912	6000
132	919	5991
133	927	5992
134	933	5978
135	941	5983
136	947	5970
137	954	5959
138	961	5955
139	967	5944
140	976	5950
141	986	5958
142	995	5966
143	1000	5948
144	1010	5957
145	1016	5947
146	1026	5955
147	1032	5944
148	1042	5954
149	1048	5941
150	1058	5953
151	1067	5956
152	1076	5956
153	1082	5944
154	1090	5942
155	1094	5921
156	1099	5903
157	1107	5899
158	1113	5887
159	1121	5888
160	1126	5870
161	1131	5853
162	1140	5857
163	1146	5843
164	1154	5840
165	1159	5827
166	1170	5840
167	1180	5845
168	1189	5848
169	1195	5836
170	1203	5835
171	1209	5823
172	1218	5824
173	1224	5810
174	1229	5795
175	1236	5787
176	1242	5775
177	1248	5763
178	1254	5752
179	1259	5736
180	1264	5723
181	1270	5709
182	1276	5696
183	1282	5688
184	1287	5672
185	1292	5656
186	1299	5647
187	1304	5633
188	1309	5618
189	1315	5606
190	1320	5593
191	1326	5580
192	1332	5571
193	1337	5555
194	1342	5541
195	1349	5534
196	1354	5519
197	1359	5505
198	1365	5496
199	1371	5484
200	1376	5470
201	1382	5461
202	1388	5450
203	1396	5447
204	1402	5439
205	1407	5426
206	1415	5421
207	1421	5412
208	1427	5401
209	1433	5393
210	1438	5379
211	1444	5368
212	1450	5359
213	1455	5346
214	1462	5339
215	1467	5328
216	1473	5318
217	1480	5309
218	1485	5296
219	1490	5283
220	1496	5274
221	1501	5262
222	1506	5249
223	1512	5239
224	1518	5229
225	1523	5217
226	1530	5211
227	1535	5200
228	1541	5191
229	1547	5181
230	1553	5170
231	1559	5163
232	1564	5151
233	1569	5138
234	1576	5131
235	1581	5119
236	1586	5107
237	1592	5099
238	1602	5101
239	1608	5092
240	1614	5085
241	1620	5075
242	1628	5071
243	1633	5060
244	1638	5049
245	1645	5043
246	1650	5033
247	1657	5024
248	1661	5011
249	1667	5001
250	1672	4991
251	1677	4980
252	1682	4969
253	1688	4958
254	1694	4950
255	1699	4938
256	1704	4926
257	1710	4920
